second,cars,motorcycles,trucks,buses,others
2222,45,26,0,0,5
2223,62,28,0,0,13
2224,57,39,22,0,29
2225,56,25,32,0,1
2226,42,11,31,0,4
2227,69,26,38,0,3
2228,74,0,36,0,6
2229,83,0,49,0,0
2230,91,0,58,0,0
2231,54,6,59,0,0
2232,89,24,64,0,30
2233,71,11,73,0,7
2234,59,17,57,0,11
2235,43,58,71,0,57
2236,42,50,68,0,58
2237,100,9,81,0,16
2238,147,38,77,0,5
2239,163,42,58,0,7
2240,143,14,47,0,22
2241,76,2,37,0,96
2242,59,8,15,0,40
2243,53,17,27,0,29
2244,27,0,30,0,24
2245,46,0,45,0,35
2246,91,1,41,0,55
2247,82,7,66,0,44
2248,11,10,61,0,26
2249,99,28,62,0,23
2250,37,25,42,0,15
2251,35,8,71,0,44
2252,85,35,46,0,91
2253,105,88,9,0,103
2254,124,85,42,0,133
2255,54,41,84,0,90
2256,28,9,52,27,34
2257,51,32,39,26,48
2258,28,76,63,3,78
2259,44,97,84,4,112
2260,40,128,66,0,211
2261,142,87,95,6,145
2262,123,5,126,8,68
2263,112,0,139,12,49
2264,190,3,145,9,49
2265,130,54,103,2,68
2266,98,107,73,0,157
2267,114,126,54,0,187
2268,136,116,95,6,139
2269,118,66,113,0,37
2270,103,80,93,0,64
2271,108,80,128,0,41
2272,119,110,114,0,17
2273,94,99,100,0,19
2274,52,111,51,1,35
2275,62,100,61,0,125
2276,71,83,77,0,46
2277,76,32,78,0,27
2278,96,35,46,0,14
2279,107,31,33,0,55
2280,136,30,31,0,65
2281,65,39,35,0,64
2282,51,35,37,0,43
2283,29,32,30,0,48
2284,11,76,30,0,80
2285,41,48,11,0,39
2286,112,31,34,0,32
2287,84,13,53,0,15
2288,100,31,37,0,27
2289,101,40,54,0,42
2290,70,95,52,0,122
2291,53,123,61,0,165
2292,37,116,72,0,151
2293,26,130,55,1,117
2294,75,51,61,0,40
2295,129,28,58,0,62
2296,78,38,54,0,94
2297,56,60,62,0,109
2298,87,52,99,0,58
2299,99,31,74,0,82
2300,120,34,83,0,78
2301,105,58,59,7,60
2302,52,49,46,9,92
2303,31,28,29,7,87
2304,12,33,29,0,97
2305,2,17,20,1,94
2306,0,12,5,0,57
2307,9,2,13,0,38
2308,0,22,31,0,30
2309,0,3,49,0,95
2310,0,0,33,0,93
2311,27,0,36,0,85
2312,7,0,28,0,92
2313,11,22,27,0,117
2314,34,34,21,0,163
2315,18,30,6,0,148
2316,12,36,2,0,158
2317,54,22,8,0,131
2318,86,25,46,0,80
2319,138,15,51,0,33
2320,93,3,43,3,52
2321,25,0,37,1,37
2322,16,20,46,0,32
2323,60,0,53,0,9
2324,53,1,87,2,1
2325,55,3,74,0,13
2326,132,3,46,4,17
2327,36,0,64,0,45
2328,18,3,66,0,16
2329,7,35,77,0,76
2330,27,34,83,1,89
2331,75,57,82,0,42
2332,88,41,97,0,57
2333,76,33,129,0,31
2334,79,9,138,0,29
2335,76,1,125,0,29
2336,89,0,134,0,4
2337,141,0,84,0,0
2338,139,1,85,0,0
2339,115,7,63,0,0
2340,120,50,43,0,31
2341,187,78,53,0,90
2342,142,76,48,0,99
2343,61,32,63,1,29
2344,79,10,88,2,15
2345,9,0,41,1,23
2346,20,10,31,0,34
2347,84,31,74,0,51
2348,41,33,94,0,38
2349,79,32,101,2,36
2350,63,36,93,2,31
2351,64,39,92,0,63
2352,11,18,86,0,38
2353,2,76,50,0,97
2354,0,49,60,0,92
2355,47,19,49,0,48
2356,12,12,34,1,55
2357,30,0,30,4,56
2358,24,0,33,0,95
2359,14,2,59,0,60
2360,47,23,44,0,30
2361,82,58,30,0,83
2362,49,63,29,0,78
2363,54,42,22,0,58
2364,51,13,34,8,8
2365,29,31,38,11,15
2366,69,27,53,8,45
2367,54,83,44,0,78
2368,64,54,61,0,14
2369,76,20,92,1,29
2370,36,20,68,0,81
2371,42,53,84,0,108
2372,55,24,73,3,51
2373,61,28,80,5,30
2374,57,28,68,5,18
2375,80,9,47,0,0
2376,66,32,67,0,6
2377,55,23,75,0,10
2378,61,0,47,0,14
2379,83,0,62,0,0
2380,101,1,53,0,1
2381,83,15,60,0,19
2382,64,31,60,1,29
2383,44,8,60,10,16
2384,76,64,44,26,47
2385,81,123,47,29,75
2386,103,115,52,8,72
2387,59,129,51,0,79
2388,46,85,39,0,51
2389,62,29,14,0,30
2390,81,16,21,0,9
2391,54,3,42,0,1
2392,92,18,18,1,16
2393,52,69,3,0,101
2394,40,56,23,0,53
2395,94,27,28,1,17
2396,78,72,12,0,100
2397,62,66,40,0,84
2398,47,39,5,0,30
2399,53,14,19,0,33
2400,49,0,34,0,9
2401,36,0,52,0,0
2402,33,1,62,0,3
2403,32,6,61,0,26
2404,83,20,37,1,42
2405,74,23,43,0,92
2406,22,28,77,0,110
2407,33,11,35,0,104
2408,63,3,64,0,68
2409,36,33,74,0,47
2410,30,61,73,1,42
2411,50,63,66,2,76
2412,37,68,57,8,94
2413,60,90,64,4,79
2414,54,62,76,21,87
2415,28,83,58,10,107
2416,35,92,65,0,99
2417,47,149,65,0,180
